日期-成交股數-成交金額-成交筆數-發行量加權股價指數-漲跌點數
 104/01/02-2,104,640,545-50,472,201,894-497,889-6,952.21-"-119.87"
 104/01/03-2,640,781,030-64,138,886,194-623,192-7,053.38-101.17
 104/01/04-2,983,756,821-75,845,629,353-728,417-7,082.97-29.59
 104/01/05-3,062,757,248-76,850,752,698-737,780-7,130.86-47.89
 104/01/06-3,314,147,435-88,101,921,548-823,810-7,120.51-"-10.35"
 104/01/09-2,610,433,477-71,323,370,369-634,137-7,093.04-"-27.47"
 104/01/10-3,595,611,551-97,168,542,017-869,327-7,178.87-85.83
 104/01/11-3,322,390,467-88,786,671,892-802,539-7,188.21-9.34
 104/01/12-2,969,248,375-78,947,910,460-731,328-7,186.58-"-1.63"
 104/01/13-3,497,838,901-99,286,437,370-819,762-7,181.54-"-5.04"
 104/01/16-3,184,795,667-76,842,611,338-719,725-7,103.62-"-77.92"
 104/01/17-3,720,277,205-101,133,309,290-899,597-7,221.08-117.46
 104/01/18-4,088,756,925-113,988,641,382-1,020,420-7,233.69-12.61
 104/01/30-4,540,373,544-143,900,658,474-1,113,727-7,407.41-173.72
 104/01/31-5,486,734,180-162,361,181,834-1,283,951-7,517.08-109.67
