,0
2023-08-03,1
2023-08-04,2
2023-08-05,3
2023-08-06,4
2023-08-07,5
2023-08-08,6
2023-08-09,7
2023-08-10,8
2023-08-11,9
2023-08-12,10
2023-08-13,11
2023-08-14,12
2023-08-15,13
2023-08-16,14
2023-08-17,15
2023-08-18,16
2023-08-19,17
2023-08-20,18
2023-08-21,19
2023-08-22,20
2023-08-23,21
2023-08-24,22
2023-08-25,23
2023-08-26,24
2023-08-27,25
2023-08-28,26
2023-08-29,27
2023-08-30,28
2023-08-31,29
2023-09-01,30
2023-09-02,31
2023-09-03,32
2023-09-04,33
2023-09-05,34
2023-09-06,35
2023-09-07,36
2023-09-08,37
2023-09-09,38
2023-09-10,39
2023-09-11,40
2023-09-12,41
2023-09-13,42
2023-09-14,43
2023-09-15,44
2023-09-16,45
2023-09-17,46
2023-09-18,47
2023-09-19,48
2023-09-20,49
2023-09-21,50
2023-09-22,51
2023-09-23,52
2023-09-24,53
2023-09-25,54
2023-09-26,55
2023-09-27,56
2023-09-28,57
2023-09-29,58
2023-09-30,59
2023-10-01,60
2023-10-02,61
2023-10-03,62
2023-10-04,63
2023-10-05,64
2023-10-06,65
2023-10-07,66
2023-10-08,67
2023-10-09,68
2023-10-10,69
2023-10-11,70
2023-10-12,71
2023-10-13,72
2023-10-14,73
2023-10-15,74
2023-10-16,75
2023-10-17,76
2023-10-18,77
2023-10-19,78
2023-10-20,79
2023-10-21,80
2023-10-22,81
2023-10-23,82
2023-10-24,83
2023-10-25,84
2023-10-26,85
2023-10-27,86
2023-10-28,87
2023-10-29,88
2023-10-30,89
2023-10-31,90
2023-11-01,91
2023-11-02,92
2023-11-03,93
2023-11-04,94
2023-11-05,95
2023-11-06,96
2023-11-07,97
2023-11-08,98
2023-11-09,99
2023-11-10,100
2023-11-11,101
2023-11-12,102
2023-11-13,103
2023-11-14,104
2023-11-15,105
2023-11-16,106
2023-11-17,107
2023-11-18,108
2023-11-19,109
2023-11-20,110
2023-11-21,111
2023-11-22,112
2023-11-23,113
2023-11-24,114
2023-11-25,115
2023-11-26,116
2023-11-27,117
2023-11-28,118
2023-11-29,119
2023-11-30,120
2023-12-01,121
2023-12-02,122
2023-12-03,123
2023-12-04,124
2023-12-05,125
2023-12-06,126
2023-12-07,127
2023-12-08,128
2023-12-09,129
2023-12-10,130
2023-12-11,131
2023-12-12,132
2023-12-13,133
2023-12-14,134
2023-12-15,135
2023-12-16,136
2023-12-17,137
2023-12-18,138
2023-12-19,139
2023-12-20,140
2023-12-21,141
2023-12-22,142
2023-12-23,143
2023-12-24,144
2023-12-25,145
2023-12-26,146
2023-12-27,147
2023-12-28,148
2023-12-29,149
2023-12-30,150
2023-12-31,151
2024-01-01,152
2024-01-02,153
2024-01-03,154
2024-01-04,155
2024-01-05,156
2024-01-06,157
2024-01-07,158
2024-01-08,159
2024-01-09,160
2024-01-10,161
2024-01-11,162
2024-01-12,163
2024-01-13,164
2024-01-14,165
2024-01-15,166
2024-01-16,167
2024-01-17,168
2024-01-18,169
2024-01-19,170
2024-01-20,171
2024-01-21,172
2024-01-22,173
2024-01-23,174
2024-01-24,175
2024-01-25,176
2024-01-26,177
2024-01-27,178
2024-01-28,179
2024-01-29,180
2024-01-30,181
2024-01-31,182
2024-02-01,183
2024-02-02,184
2024-02-03,185
2024-02-04,186
2024-02-05,187
2024-02-06,188
2024-02-07,189
2024-02-08,190
2024-02-09,191
2024-02-10,192
2024-02-11,193
2024-02-12,194
2024-02-13,195
2024-02-14,196
2024-02-15,197
2024-02-16,198
2024-02-17,199
2024-02-18,200
